candidate_id,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,gini,40.0,20,2,0.1,True
2,entropy,60.0,20,8,0.02,False
3,gini,20.0,2,2,0.02,True
4,entropy,40.0,20,1,0.02,True
5,entropy,20.0,2,2,0.1,False
6,gini,60.0,5,2,0.05,True
7,entropy,20.0,2,2,0.05,True
8,entropy,60.0,10,1,0.1,True
9,gini,80.0,10,8,0.02,True
10,entropy,20.0,5,2,0.2,True
11,entropy,,5,4,0.02,True
12,entropy,40.0,10,2,0.02,False
13,entropy,40.0,2,8,sqrt,True
14,gini,40.0,20,2,0.1,False
15,entropy,60.0,2,2,0.1,False
16,gini,40.0,5,2,0.2,False
17,entropy,60.0,2,8,log2,False
18,entropy,20.0,5,8,0.02,True
19,gini,,2,2,log2,False
20,entropy,80.0,20,1,sqrt,True
21,entropy,,10,4,0.1,True
22,gini,,2,8,0.1,False
23,gini,80.0,5,2,sqrt,False
24,entropy,80.0,10,8,log2,False
25,entropy,40.0,5,2,log2,True
26,gini,20.0,5,1,0.2,False
27,entropy,20.0,5,2,0.2,False
28,entropy,,2,4,0.1,True
29,gini,20.0,10,2,0.02,False
30,entropy,40.0,5,2,0.02,True
31,gini,60.0,2,4,0.02,False
32,entropy,60.0,2,2,0.1,True
33,entropy,20.0,5,1,0.02,True
34,entropy,40.0,2,2,0.05,False
35,entropy,80.0,20,1,0.05,True
36,gini,40.0,5,1,0.02,True
37,gini,40.0,2,2,0.05,False
38,gini,60.0,2,4,0.1,True
39,entropy,,5,2,sqrt,False
40,entropy,,20,4,0.1,True
41,entropy,40.0,2,4,sqrt,False
42,entropy,60.0,20,4,0.05,False
43,entropy,80.0,5,4,0.2,True
44,gini,80.0,2,1,log2,True
45,entropy,40.0,20,2,0.1,True
46,gini,20.0,20,2,0.02,False
47,entropy,,2,8,log2,False
48,entropy,80.0,2,8,0.05,False
49,entropy,,10,8,0.02,False
50,entropy,40.0,20,4,0.1,True
51,entropy,60.0,2,8,0.05,True
52,gini,80.0,5,1,sqrt,False
53,gini,40.0,10,4,0.1,True
54,gini,20.0,5,8,0.05,True
55,gini,80.0,2,4,0.05,True
56,entropy,60.0,5,1,log2,True
57,gini,,20,4,0.05,False
58,entropy,80.0,10,4,0.1,True
59,entropy,,20,8,sqrt,True
60,entropy,80.0,20,2,0.2,False
61,gini,80.0,20,4,0.1,False
62,entropy,60.0,2,4,sqrt,False
63,gini,80.0,10,4,0.05,False
64,entropy,20.0,10,1,0.1,True
65,gini,20.0,5,8,0.02,True
66,gini,20.0,20,8,0.05,True
67,gini,80.0,5,4,log2,False
68,gini,60.0,10,1,0.02,True
69,entropy,60.0,2,8,sqrt,True
70,entropy,40.0,5,8,0.2,True
71,entropy,80.0,2,8,0.02,False
72,entropy,,2,8,0.05,False
73,gini,20.0,2,1,0.2,False
74,entropy,,10,8,sqrt,True
75,entropy,40.0,5,4,0.02,True
76,entropy,40.0,10,2,0.1,True
77,gini,20.0,10,2,sqrt,True
78,gini,40.0,2,2,log2,False
79,entropy,80.0,20,4,sqrt,False
80,entropy,80.0,2,2,log2,False
81,entropy,40.0,10,1,log2,True
82,gini,40.0,20,2,sqrt,False
83,entropy,,20,1,0.02,False
84,gini,,5,8,0.2,True
85,entropy,,2,1,0.1,False
86,entropy,40.0,20,4,0.1,False
87,entropy,40.0,10,1,sqrt,False
88,entropy,20.0,20,1,0.05,False
89,entropy,,5,8,0.2,True
90,gini,40.0,5,4,0.05,False
91,gini,60.0,20,1,0.02,False
92,entropy,,5,8,log2,True
93,entropy,,2,2,0.1,False
94,gini,20.0,5,8,0.1,True
95,entropy,40.0,5,2,0.1,False
96,entropy,20.0,20,4,0.05,True
97,entropy,80.0,10,8,0.02,False
98,entropy,60.0,2,1,sqrt,True
99,entropy,40.0,20,2,sqrt,True
100,gini,60.0,2,2,log2,True
