candidate_id,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,gini,80.0,2,4,0.2,True
2,entropy,80.0,20,4,0.02,True
3,entropy,80.0,20,2,0.05,False
4,entropy,40.0,10,2,0.05,False
5,gini,,5,1,0.1,False
6,gini,60.0,5,4,log2,True
7,entropy,80.0,5,4,sqrt,False
8,gini,40.0,10,1,log2,False
9,gini,60.0,20,8,0.1,False
10,gini,,2,1,log2,True
11,entropy,,10,2,log2,False
12,entropy,40.0,20,4,0.05,False
13,gini,80.0,10,4,0.05,True
14,gini,40.0,2,2,sqrt,True
15,gini,60.0,20,2,log2,False
16,entropy,20.0,5,4,0.1,False
17,entropy,20.0,20,4,0.05,True
18,entropy,,5,1,0.2,True
19,gini,,20,4,0.02,False
20,gini,,10,2,0.2,True
21,entropy,80.0,10,2,0.1,False
22,gini,40.0,10,1,log2,True
23,gini,,2,8,0.2,False
24,gini,20.0,2,8,0.05,False
25,entropy,80.0,20,1,0.2,False
26,entropy,20.0,20,2,0.1,True
27,gini,20.0,10,2,0.05,False
28,entropy,,5,4,log2,False
29,entropy,60.0,2,2,sqrt,False
30,entropy,20.0,20,4,sqrt,True
31,gini,20.0,10,1,0.05,False
32,entropy,,20,1,0.2,False
33,gini,60.0,10,4,sqrt,False
34,entropy,80.0,5,8,0.2,False
35,entropy,40.0,5,1,sqrt,True
36,gini,40.0,10,8,0.02,False
37,entropy,,20,2,0.2,False
38,entropy,40.0,10,4,0.2,False
39,entropy,20.0,10,8,0.2,True
40,entropy,60.0,20,8,log2,True
41,entropy,,20,2,0.05,False
42,entropy,,5,2,sqrt,False
43,gini,80.0,10,2,log2,True
44,gini,40.0,2,4,0.2,False
45,gini,,20,8,0.05,True
46,entropy,20.0,20,8,0.2,True
47,gini,20.0,2,4,0.02,True
48,entropy,,2,8,log2,False
49,gini,20.0,5,1,0.05,False
50,gini,60.0,20,1,0.1,True
51,gini,40.0,10,1,0.02,True
52,gini,,5,4,0.1,True
53,entropy,,2,2,sqrt,True
54,gini,20.0,20,1,0.05,False
55,gini,20.0,5,1,0.2,True
56,gini,20.0,20,4,0.05,False
57,gini,20.0,5,4,0.02,True
58,entropy,,20,1,0.05,False
59,gini,20.0,10,1,0.2,False
60,gini,20.0,20,8,0.1,True
61,entropy,20.0,10,2,0.1,False
62,entropy,80.0,5,1,sqrt,False
63,gini,40.0,5,4,0.02,False
64,entropy,80.0,5,4,0.02,True
65,gini,,2,1,0.02,True
66,gini,80.0,5,2,0.02,False
67,gini,60.0,20,4,log2,True
68,entropy,40.0,5,8,0.2,True
69,gini,60.0,20,2,log2,True
70,gini,80.0,20,2,0.02,False
71,entropy,80.0,2,4,sqrt,False
72,entropy,,20,1,log2,True
73,entropy,60.0,2,4,0.1,False
74,entropy,80.0,2,4,log2,False
75,entropy,,10,8,sqrt,True
76,entropy,80.0,2,2,0.1,False
77,gini,80.0,5,1,0.2,False
78,gini,20.0,2,4,0.2,True
79,gini,40.0,10,8,0.02,True
80,entropy,40.0,20,8,log2,True
81,entropy,,2,4,log2,False
82,gini,60.0,10,8,log2,True
83,entropy,,2,1,0.02,False
84,gini,20.0,2,4,0.1,False
85,gini,20.0,20,1,sqrt,False
86,entropy,,2,4,0.1,True
87,entropy,80.0,10,1,log2,False
88,entropy,,10,1,0.05,False
89,entropy,80.0,2,1,0.05,True
90,gini,60.0,2,2,0.2,False
91,entropy,40.0,10,8,0.1,False
92,gini,20.0,2,8,log2,True
93,entropy,80.0,10,1,sqrt,False
94,entropy,,5,4,0.05,True
95,entropy,80.0,5,8,log2,True
96,gini,80.0,2,8,0.1,True
97,entropy,80.0,5,4,0.05,False
98,gini,20.0,2,2,0.05,True
99,entropy,40.0,2,4,0.05,False
100,gini,60.0,10,1,0.02,False
