relative_path,class,label,repeat,fold,split_seed
Training/glioma/Tr-gl_1.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_10.png,glioma,0,1,4,202601
Training/glioma/Tr-gl_100.png,glioma,0,1,4,202601
Training/glioma/Tr-gl_1000.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_1001.png,glioma,0,1,4,202601
Training/glioma/Tr-gl_1002.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_1003.png,glioma,0,1,5,202601
Training/glioma/Tr-gl_1004.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_1005.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_1006.png,glioma,0,1,2,202601
Training/glioma/Tr-gl_1007.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_1008.png,glioma,0,1,2,202601
Training/glioma/Tr-gl_1009.png,glioma,0,1,5,202601
Training/glioma/Tr-gl_101.png,glioma,0,1,2,202601
Training/glioma/Tr-gl_1010.png,glioma,0,1,5,202601
Training/glioma/Tr-gl_1011.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_1012.png,glioma,0,1,1,202601
Training/glioma/Tr-gl_1013.png,glioma,0,1,1,202601
Training/glioma/Tr-gl_1014.png,glioma,0,1,1,202601
Training/glioma/Tr-gl_1015.png,glioma,0,1,2,202601
Training/glioma/Tr-gl_1016.png,glioma,0,1,5,202601
Training/glioma/Tr-gl_1017.png,glioma,0,1,2,202601
Training/glioma/Tr-gl_1018.png,glioma,0,1,4,202601
Training/glioma/Tr-gl_1019.png,glioma,0,1,2,202601
Training/glioma/Tr-gl_102.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_1020.png,glioma,0,1,2,202601
Training/glioma/Tr-gl_1021.png,glioma,0,1,2,202601
Training/glioma/Tr-gl_1022.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_1023.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_1024.png,glioma,0,1,4,202601
Training/glioma/Tr-gl_1025.png,glioma,0,1,4,202601
Training/glioma/Tr-gl_1026.png,glioma,0,1,4,202601
Training/glioma/Tr-gl_1027.png,glioma,0,1,1,202601
Training/glioma/Tr-gl_1028.png,glioma,0,1,5,202601
Training/glioma/Tr-gl_1029.png,glioma,0,1,4,202601
Training/glioma/Tr-gl_103.png,glioma,0,1,5,202601
Training/glioma/Tr-gl_1030.png,glioma,0,1,1,202601
Training/glioma/Tr-gl_1031.png,glioma,0,1,5,202601
Training/glioma/Tr-gl_1032.png,glioma,0,1,5,202601
Training/glioma/Tr-gl_1033.png,glioma,0,1,1,202601
Training/glioma/Tr-gl_1034.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_1035.png,glioma,0,1,1,202601
Training/glioma/Tr-gl_1036.png,glioma,0,1,4,202601
Training/glioma/Tr-gl_1037.png,glioma,0,1,3,202601
Training/glioma/Tr-gl_1038.png,glioma,0,1,5,202601
Training/glioma/Tr-gl_1039.png,glioma,0,1,3,202601
