candidate_id,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,gini,60.0,10,4,0.02,True
2,gini,20.0,20,4,0.05,False
3,gini,,2,4,log2,True
4,gini,20.0,5,4,0.02,True
5,entropy,80.0,10,4,0.2,True
6,entropy,80.0,2,1,0.1,False
7,entropy,60.0,5,8,0.05,False
8,entropy,80.0,2,8,0.02,True
9,gini,60.0,20,8,sqrt,False
10,entropy,80.0,2,1,sqrt,True
11,gini,40.0,10,8,0.05,True
12,gini,20.0,5,8,0.02,False
13,entropy,,10,2,0.05,True
14,entropy,20.0,5,8,sqrt,True
15,entropy,20.0,2,8,0.02,True
16,entropy,,2,8,0.02,True
17,gini,80.0,20,8,0.05,False
18,entropy,40.0,20,8,0.2,False
19,gini,80.0,5,2,0.2,True
20,entropy,60.0,20,1,log2,False
21,gini,80.0,20,1,0.05,True
22,gini,80.0,2,1,0.02,True
23,entropy,80.0,10,1,0.1,True
24,entropy,,10,4,0.05,False
25,entropy,20.0,2,1,0.2,True
26,entropy,60.0,5,1,0.02,True
27,gini,,2,4,0.2,False
28,entropy,40.0,5,2,sqrt,False
29,entropy,,20,2,0.2,False
30,entropy,20.0,10,4,0.02,False
31,entropy,,20,4,0.05,False
32,gini,60.0,2,1,sqrt,True
33,gini,,5,1,0.2,False
34,entropy,20.0,5,1,0.02,False
35,gini,80.0,10,1,sqrt,False
36,gini,40.0,5,1,0.2,True
37,gini,20.0,10,4,0.02,True
38,entropy,40.0,2,8,0.2,True
39,gini,20.0,20,2,0.02,True
40,gini,40.0,2,4,sqrt,False
41,gini,,20,2,0.02,True
42,entropy,40.0,20,2,0.02,True
43,entropy,60.0,2,1,0.2,False
44,entropy,60.0,20,4,sqrt,True
45,entropy,80.0,2,2,0.2,True
46,entropy,60.0,2,4,sqrt,True
47,gini,80.0,20,1,0.02,False
48,entropy,,20,2,0.05,False
49,gini,20.0,20,4,0.2,True
50,gini,80.0,2,2,log2,True
51,gini,40.0,2,8,log2,False
52,entropy,60.0,10,2,0.02,False
53,gini,60.0,2,8,sqrt,True
54,gini,60.0,20,8,0.2,True
55,entropy,80.0,20,4,sqrt,False
56,entropy,20.0,20,2,0.02,True
57,entropy,40.0,5,8,0.2,True
58,entropy,60.0,5,4,0.2,False
59,gini,,5,2,0.05,False
60,gini,,5,8,0.2,False
61,entropy,80.0,20,8,sqrt,False
62,gini,40.0,5,8,0.1,False
63,entropy,80.0,5,2,log2,True
64,entropy,,10,2,0.1,True
65,gini,80.0,5,2,log2,False
66,entropy,80.0,5,1,0.02,True
67,entropy,80.0,20,4,0.2,True
68,entropy,20.0,20,4,0.05,True
69,gini,80.0,20,1,0.02,True
70,entropy,80.0,2,1,0.05,True
71,gini,,5,4,0.02,False
72,gini,40.0,2,8,0.1,True
73,gini,40.0,2,8,0.2,False
74,entropy,80.0,20,2,0.05,True
75,gini,60.0,5,4,0.2,True
76,entropy,20.0,20,1,0.02,True
77,gini,20.0,2,1,0.2,False
78,gini,80.0,5,1,0.05,False
79,entropy,60.0,5,1,0.02,False
80,gini,40.0,20,1,log2,False
81,gini,60.0,20,8,log2,False
82,entropy,40.0,5,2,0.2,False
83,gini,,20,1,0.1,False
84,entropy,,5,2,0.1,True
85,gini,20.0,20,2,0.05,True
86,entropy,60.0,5,4,0.05,True
87,gini,60.0,20,8,0.05,False
88,entropy,20.0,5,4,log2,False
89,entropy,60.0,20,4,0.2,True
90,entropy,60.0,10,8,sqrt,False
91,gini,,10,4,0.1,True
92,gini,,2,8,sqrt,False
93,gini,20.0,10,8,0.05,True
94,entropy,40.0,5,4,0.02,True
95,entropy,80.0,5,2,0.05,False
96,gini,40.0,20,1,sqrt,False
97,entropy,,5,8,0.1,True
98,entropy,40.0,5,1,sqrt,False
99,entropy,20.0,20,2,0.05,True
100,entropy,40.0,20,8,0.02,True
