candidate_id,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,entropy,80.0,20,8,sqrt,True
2,entropy,40.0,2,4,0.1,True
3,entropy,80.0,5,8,0.05,False
4,entropy,40.0,10,1,0.05,True
5,entropy,,5,2,0.02,True
6,entropy,,5,4,0.2,True
7,gini,40.0,10,4,0.05,False
8,entropy,60.0,10,2,0.2,False
9,entropy,80.0,10,4,sqrt,True
10,entropy,40.0,2,8,sqrt,False
11,entropy,20.0,5,2,0.2,False
12,gini,40.0,20,8,0.02,False
13,entropy,60.0,10,8,0.2,False
14,gini,,20,2,0.2,True
15,entropy,20.0,20,2,log2,True
16,entropy,20.0,20,8,0.05,True
17,entropy,60.0,10,2,0.2,True
18,entropy,,2,4,0.1,False
19,gini,60.0,10,4,0.2,True
20,gini,,20,8,0.02,False
21,entropy,60.0,20,2,0.02,False
22,entropy,80.0,2,8,sqrt,True
23,gini,20.0,10,2,sqrt,False
24,entropy,60.0,20,1,0.02,False
25,gini,,5,4,log2,False
26,entropy,,10,2,sqrt,True
27,gini,80.0,20,8,0.1,True
28,entropy,20.0,5,4,0.02,False
29,gini,60.0,10,2,sqrt,False
30,gini,40.0,2,4,0.05,True
31,entropy,60.0,10,8,log2,False
32,entropy,60.0,5,1,0.1,True
33,entropy,20.0,5,2,0.02,False
34,entropy,40.0,20,1,0.2,False
35,gini,,5,2,sqrt,False
36,gini,,2,4,sqrt,True
37,gini,60.0,5,1,0.1,True
38,entropy,60.0,5,8,0.05,True
39,gini,40.0,10,2,sqrt,True
40,gini,60.0,20,2,0.05,False
41,gini,20.0,10,8,0.1,False
42,gini,40.0,10,2,log2,True
43,gini,60.0,10,8,0.05,False
44,gini,80.0,10,1,sqrt,True
45,entropy,40.0,10,2,sqrt,False
46,entropy,60.0,20,8,0.1,True
47,gini,60.0,20,8,0.05,True
48,entropy,20.0,5,1,0.05,False
49,entropy,40.0,20,4,0.2,True
50,gini,80.0,20,1,0.02,True
51,gini,40.0,2,4,0.1,True
52,gini,20.0,20,2,0.05,True
53,gini,40.0,20,4,log2,False
54,entropy,20.0,5,2,log2,True
55,entropy,60.0,5,2,0.2,True
56,gini,40.0,2,2,0.05,True
57,gini,80.0,5,4,0.2,False
58,entropy,,20,8,sqrt,True
59,gini,40.0,10,8,0.2,True
60,entropy,40.0,20,2,log2,True
61,entropy,60.0,2,4,0.2,True
62,entropy,80.0,5,4,0.2,False
63,entropy,80.0,2,8,0.2,True
64,entropy,40.0,2,2,0.2,True
65,gini,,5,2,0.1,False
66,entropy,40.0,10,8,0.02,True
67,entropy,80.0,5,1,0.2,True
68,entropy,40.0,20,1,0.2,True
69,entropy,,5,4,sqrt,True
70,gini,80.0,2,8,0.05,True
71,entropy,,20,8,0.1,False
72,entropy,,10,1,log2,True
73,gini,20.0,10,8,0.2,True
74,entropy,,2,8,0.02,True
75,entropy,40.0,2,2,0.02,False
76,gini,60.0,20,8,log2,True
77,gini,60.0,5,1,0.05,True
78,gini,40.0,5,1,sqrt,False
79,gini,80.0,20,8,log2,True
80,entropy,80.0,2,4,0.2,False
81,entropy,40.0,10,4,0.02,True
82,entropy,,2,8,0.1,False
83,gini,40.0,2,1,log2,False
84,gini,,2,8,0.2,False
85,gini,,10,4,0.02,False
86,entropy,40.0,2,1,0.05,False
87,entropy,40.0,5,8,0.2,True
88,entropy,,2,8,log2,False
89,gini,,5,1,0.05,True
90,gini,60.0,2,2,0.1,True
91,entropy,80.0,20,1,0.1,False
92,gini,40.0,5,4,log2,True
93,entropy,20.0,2,8,log2,True
94,entropy,20.0,2,8,0.1,True
95,gini,80.0,20,4,0.2,True
96,gini,80.0,10,1,0.1,False
97,entropy,60.0,20,8,0.02,True
98,entropy,20.0,2,4,log2,False
99,gini,40.0,2,4,0.02,True
100,gini,20.0,5,2,log2,True
