candidate_id,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,entropy,,20,2,0.02,False
2,gini,40.0,10,2,0.05,False
3,gini,80.0,2,1,0.1,True
4,entropy,40.0,2,1,log2,True
5,gini,40.0,20,8,0.2,False
6,gini,,20,4,0.2,False
7,entropy,60.0,20,8,0.1,True
8,entropy,,5,2,0.2,True
9,gini,80.0,20,2,sqrt,False
10,entropy,20.0,2,1,sqrt,True
11,gini,40.0,20,2,0.2,True
12,entropy,40.0,2,2,0.2,True
13,entropy,80.0,5,8,log2,False
14,entropy,40.0,10,8,0.05,True
15,gini,80.0,20,1,0.1,True
16,entropy,80.0,5,8,0.05,False
17,gini,,10,2,sqrt,False
18,entropy,40.0,5,4,sqrt,True
19,gini,40.0,10,4,sqrt,False
20,entropy,20.0,10,4,0.05,True
21,gini,80.0,5,4,sqrt,False
22,gini,60.0,10,1,log2,False
23,gini,,5,2,0.05,False
24,entropy,80.0,20,1,0.05,False
25,entropy,,10,8,0.02,True
26,gini,20.0,5,8,0.05,False
27,entropy,60.0,10,4,log2,True
28,gini,,5,2,0.2,True
29,gini,20.0,20,2,0.05,False
30,gini,60.0,2,8,0.02,True
31,entropy,40.0,20,8,log2,True
32,entropy,80.0,20,4,log2,False
33,entropy,60.0,5,1,0.02,False
34,entropy,,20,4,log2,True
35,entropy,60.0,10,1,log2,True
36,entropy,,2,4,sqrt,True
37,gini,80.0,5,2,sqrt,True
38,gini,20.0,5,8,sqrt,True
39,gini,40.0,2,1,0.05,False
40,entropy,80.0,10,2,0.1,False
41,entropy,20.0,2,2,0.1,False
42,entropy,60.0,10,8,0.05,True
43,entropy,40.0,5,2,sqrt,True
44,entropy,,20,8,0.05,True
45,entropy,40.0,2,2,0.1,False
46,gini,,5,8,sqrt,True
47,entropy,60.0,5,1,0.05,True
48,gini,80.0,2,4,sqrt,False
49,gini,40.0,10,4,0.02,True
50,entropy,,5,8,0.2,False
51,gini,40.0,10,1,log2,True
52,gini,,5,8,0.1,False
53,gini,,5,4,log2,True
54,gini,,10,2,log2,False
55,gini,80.0,2,2,0.1,False
56,entropy,20.0,20,1,0.05,True
57,gini,,10,4,0.1,True
58,entropy,,5,8,sqrt,False
59,entropy,80.0,20,2,sqrt,True
60,entropy,40.0,10,4,0.2,True
61,entropy,80.0,20,1,sqrt,False
62,gini,,10,8,0.1,False
63,gini,60.0,10,2,0.05,False
64,gini,40.0,20,1,0.02,False
65,gini,40.0,20,2,log2,False
66,gini,40.0,20,1,0.1,False
67,gini,,2,2,log2,True
68,entropy,,10,1,0.2,False
69,gini,80.0,2,2,sqrt,False
70,entropy,,5,1,0.2,False
71,gini,20.0,10,4,0.2,False
72,gini,80.0,20,8,log2,False
73,gini,20.0,5,4,0.1,True
74,entropy,20.0,20,2,0.1,False
75,entropy,20.0,10,1,log2,False
76,gini,20.0,5,4,sqrt,False
77,entropy,40.0,2,1,0.2,False
78,gini,,5,4,0.02,True
79,entropy,60.0,20,8,0.02,False
80,entropy,40.0,2,2,0.2,False
81,gini,40.0,10,4,0.05,False
82,gini,,20,4,log2,True
83,gini,,20,1,log2,True
84,gini,20.0,20,2,log2,True
85,entropy,20.0,5,1,0.02,False
86,entropy,60.0,20,8,log2,False
87,entropy,20.0,10,1,sqrt,False
88,entropy,20.0,2,1,0.05,False
89,gini,20.0,20,2,0.02,False
90,gini,20.0,10,1,log2,False
91,gini,,20,8,0.1,False
92,gini,60.0,5,2,log2,True
93,entropy,20.0,2,1,log2,False
94,entropy,60.0,2,8,sqrt,False
95,entropy,,5,8,0.1,True
96,gini,40.0,5,2,0.1,True
97,gini,80.0,10,1,log2,False
98,gini,60.0,5,4,sqrt,False
99,gini,80.0,20,1,0.02,False
100,gini,20.0,5,8,0.1,True
