candidate_id,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,entropy,80.0,2,8,sqrt,False
2,gini,80.0,10,8,0.2,True
3,gini,40.0,5,4,0.2,False
4,gini,40.0,5,1,0.2,True
5,gini,60.0,5,1,log2,True
6,gini,40.0,10,1,0.05,False
7,gini,40.0,2,8,0.05,False
8,gini,,5,1,0.2,True
9,gini,40.0,5,4,0.02,False
10,gini,60.0,5,1,0.2,False
11,entropy,,20,2,sqrt,True
12,entropy,20.0,5,1,sqrt,True
13,entropy,20.0,10,4,0.02,True
14,entropy,40.0,5,2,0.2,False
15,gini,60.0,2,4,0.02,False
16,entropy,40.0,10,1,0.1,True
17,gini,60.0,2,2,0.05,False
18,gini,80.0,2,4,sqrt,False
19,entropy,,5,1,sqrt,False
20,entropy,80.0,10,1,sqrt,False
21,entropy,20.0,20,2,0.2,False
22,entropy,60.0,2,4,0.1,True
23,entropy,60.0,2,1,log2,False
24,entropy,20.0,20,4,log2,True
25,gini,60.0,10,8,log2,False
26,gini,80.0,2,4,0.02,False
27,gini,20.0,5,4,0.2,True
28,entropy,60.0,2,4,sqrt,False
29,gini,80.0,2,1,0.02,True
30,gini,,10,4,sqrt,False
31,gini,20.0,10,2,0.2,False
32,gini,20.0,10,4,log2,False
33,gini,,20,8,sqrt,False
34,entropy,,2,2,sqrt,True
35,gini,60.0,5,1,0.02,False
36,gini,20.0,5,2,0.1,False
37,gini,40.0,5,8,0.2,False
38,gini,40.0,10,1,sqrt,False
39,entropy,60.0,5,4,sqrt,False
40,gini,,2,4,0.02,True
41,gini,20.0,20,2,log2,False
42,gini,60.0,20,8,0.05,True
43,entropy,20.0,10,8,0.02,False
44,gini,60.0,5,4,log2,False
45,entropy,40.0,5,2,log2,False
46,gini,60.0,20,8,log2,True
47,gini,40.0,20,2,0.2,False
48,gini,,5,1,sqrt,True
49,gini,,5,2,0.1,False
50,gini,,2,8,0.02,False
51,entropy,20.0,2,2,0.02,False
52,entropy,,20,1,log2,False
53,entropy,80.0,10,4,sqrt,True
54,entropy,,5,4,sqrt,False
55,gini,20.0,2,4,0.05,False
56,gini,80.0,5,8,0.05,True
57,gini,20.0,5,2,log2,True
58,entropy,80.0,2,4,0.2,False
59,entropy,80.0,10,4,0.02,True
60,gini,,10,1,sqrt,False
61,entropy,80.0,2,2,0.02,True
62,entropy,20.0,5,2,sqrt,False
63,gini,40.0,20,2,0.05,True
64,entropy,40.0,10,4,log2,False
65,gini,40.0,5,2,0.1,True
66,entropy,80.0,2,4,0.1,False
67,entropy,,20,2,0.02,False
68,entropy,20.0,2,4,sqrt,False
69,entropy,60.0,2,2,log2,False
70,gini,60.0,20,2,0.1,True
71,gini,40.0,2,8,0.02,False
72,gini,40.0,20,1,log2,True
73,entropy,,10,2,0.05,True
74,gini,40.0,20,8,0.02,True
75,gini,80.0,5,2,log2,False
76,entropy,40.0,20,4,log2,True
77,entropy,40.0,20,1,0.2,True
78,entropy,60.0,2,4,0.2,True
79,entropy,,5,4,log2,False
80,entropy,40.0,20,4,0.1,True
81,gini,,20,2,log2,True
82,entropy,60.0,2,1,sqrt,True
83,entropy,40.0,10,4,0.05,True
84,entropy,80.0,5,1,0.1,False
85,gini,,2,8,0.2,True
86,entropy,,5,8,0.05,True
87,gini,80.0,5,4,log2,True
88,gini,40.0,2,8,log2,False
89,gini,40.0,5,8,0.05,True
90,gini,,10,2,sqrt,True
91,entropy,20.0,20,2,0.1,True
92,entropy,80.0,2,8,0.2,True
93,entropy,80.0,5,8,0.2,True
94,entropy,60.0,2,8,0.02,False
95,entropy,40.0,5,2,sqrt,True
96,gini,80.0,10,4,0.05,True
97,gini,60.0,20,8,0.2,False
98,entropy,60.0,5,4,0.1,False
99,gini,20.0,2,1,0.02,True
100,gini,80.0,20,2,0.05,False
