candidate_id,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap
1,gini,80.0,20,1,0.1,True
2,gini,60.0,10,8,0.05,True
3,entropy,60.0,20,8,0.05,False
4,gini,40.0,20,2,sqrt,True
5,entropy,20.0,20,4,0.05,True
6,entropy,,20,4,0.1,False
7,gini,60.0,10,1,0.02,True
8,entropy,60.0,20,2,0.1,False
9,gini,40.0,5,1,0.05,False
10,gini,20.0,10,2,0.05,False
11,gini,40.0,10,4,0.1,True
12,gini,40.0,20,4,0.05,False
13,gini,60.0,5,1,0.02,False
14,entropy,80.0,20,1,0.1,False
15,entropy,80.0,20,1,log2,True
16,entropy,,20,1,log2,True
17,gini,40.0,10,4,0.02,False
18,entropy,40.0,5,4,0.2,False
19,gini,60.0,10,1,0.2,True
20,gini,,2,8,0.1,False
21,gini,,2,1,log2,True
22,gini,20.0,5,4,0.05,True
23,entropy,40.0,5,2,sqrt,False
24,gini,20.0,5,8,log2,True
25,entropy,80.0,5,8,log2,True
26,gini,80.0,2,4,sqrt,True
27,entropy,80.0,2,1,log2,True
28,entropy,,10,1,0.2,True
29,gini,20.0,2,8,0.02,True
30,entropy,60.0,20,1,0.05,False
31,gini,60.0,5,8,0.02,False
32,gini,40.0,2,1,sqrt,False
33,entropy,60.0,10,1,0.1,True
34,entropy,40.0,10,2,0.1,True
35,gini,60.0,5,8,0.1,True
36,entropy,40.0,10,1,0.2,False
37,entropy,20.0,10,4,0.05,False
38,entropy,40.0,5,8,0.1,True
39,gini,60.0,20,1,log2,False
40,gini,80.0,10,2,0.1,True
41,entropy,80.0,2,8,0.2,True
42,entropy,40.0,2,2,sqrt,False
43,gini,80.0,20,4,log2,False
44,entropy,60.0,10,4,0.02,True
45,entropy,,2,2,0.05,True
46,gini,,2,2,0.1,True
47,entropy,60.0,10,8,0.1,True
48,entropy,,20,1,0.02,True
49,gini,80.0,5,4,sqrt,False
50,entropy,40.0,5,8,sqrt,False
51,entropy,80.0,20,2,0.05,False
52,entropy,80.0,10,8,0.1,True
53,gini,40.0,20,2,log2,False
54,entropy,80.0,20,2,0.02,False
55,entropy,20.0,2,4,sqrt,False
56,gini,,20,1,0.05,False
57,gini,80.0,2,4,log2,True
58,gini,40.0,10,2,sqrt,False
59,gini,40.0,10,4,0.1,False
60,entropy,60.0,10,1,sqrt,False
61,entropy,40.0,10,2,log2,False
62,entropy,40.0,5,2,0.2,False
63,entropy,40.0,20,8,log2,False
64,gini,20.0,20,2,0.2,False
65,gini,80.0,5,1,0.1,False
66,gini,60.0,5,2,log2,True
67,entropy,20.0,5,2,0.2,False
68,entropy,,2,4,0.02,False
69,entropy,80.0,20,8,0.2,False
70,entropy,,10,4,0.05,True
71,entropy,60.0,2,4,0.05,False
72,gini,20.0,10,1,0.05,False
73,gini,60.0,20,1,0.1,True
74,gini,20.0,5,4,0.2,False
75,entropy,60.0,10,8,log2,True
76,gini,80.0,10,8,sqrt,True
77,gini,20.0,5,8,0.02,True
78,entropy,60.0,2,8,0.02,False
79,gini,80.0,5,2,0.1,True
80,gini,80.0,5,2,0.05,False
81,entropy,80.0,5,8,0.1,True
82,entropy,60.0,2,1,log2,True
83,gini,,20,1,0.05,True
84,gini,80.0,10,2,0.2,False
85,entropy,60.0,10,2,sqrt,False
86,entropy,,5,1,0.2,False
87,entropy,60.0,2,2,log2,False
88,gini,80.0,10,4,sqrt,True
89,entropy,40.0,2,1,0.02,True
90,gini,40.0,20,8,0.2,True
91,entropy,80.0,10,2,sqrt,True
92,gini,40.0,5,4,sqrt,True
93,gini,60.0,20,1,0.2,False
94,gini,80.0,20,4,log2,True
95,entropy,,10,1,log2,True
96,entropy,80.0,10,1,0.02,True
97,entropy,,5,8,0.05,True
98,gini,80.0,2,1,0.02,True
99,entropy,80.0,5,1,log2,False
100,gini,,2,1,0.1,True
